Time,"Current brake pressure","Normalized accelerator pedal angle","Vehicle lateral acceleration","Vehicle longitudinal acceleration"
84.540,0.00,77.81,3.74,3.47
84.705,0.00,77.81,0.46,3.47
84.855,0.00,77.81,0.46,3.47
85.049,0.00,77.81,0.46,3.47
85.200,0.00,0.00,0.46,3.47
85.349,0.00,0.00,-0.23,3.47
85.502,0.00,0.00,-0.23,-6.08
85.664,0.04,0.00,-0.23,-6.08
85.830,0.04,0.00,-0.23,-6.08
85.979,0.04,0.00,-0.47,-6.08
86.144,0.04,0.00,-0.47,-6.94
86.326,0.04,0.00,-0.47,-6.94
86.476,0.04,0.00,-0.47,-6.94
86.626,0.04,0.00,0.15,-6.94
86.776,0.04,0.00,0.15,-5.42
86.942,0.03,0.00,0.15,-5.42
87.105,0.03,0.00,0.15,-5.42
87.256,0.03,0.00,0.01,-5.42
87.422,0.03,0.00,0.01,-3.47
87.586,0.02,0.00,0.01,-3.47
87.735,0.02,0.00,0.01,-3.47
87.930,0.02,0.00,0.33,-3.47
88.095,0.02,0.00,0.33,-3.47
88.230,0.01,0.00,0.33,-3.47
88.380,0.01,0.00,0.33,-3.47
88.546,0.01,0.00,-0.23,-3.47
88.696,0.01,0.00,-0.23,-2.82
88.861,0.01,0.00,-0.23,-2.82
89.027,0.01,0.00,-0.23,-2.82
89.175,0.01,0.00,-0.27,-2.82
89.311,0.01,0.00,-0.27,-2.39
89.475,0.01,0.00,-0.27,-2.39
89.656,0.01,0.00,-0.27,-2.39
89.821,0.01,0.00,0.03,-2.39
89.986,0.01,0.00,0.03,-2.39
90.150,0.01,0.00,0.03,-2.39
90.301,0.01,0.00,0.03,-2.39
90.466,0.01,0.00,0.01,-2.39
90.618,0.01,0.00,0.01,-1.74
90.780,0.00,0.00,0.01,-1.74
90.948,0.00,0.00,0.01,-1.74
91.096,0.00,0.00,0.05,-1.74
91.263,0.00,0.00,0.05,-0.87
91.427,0.00,0.00,0.05,-0.87
91.575,0.00,0.00,0.05,-0.87
91.739,0.00,0.00,0.10,-0.87
91.905,0.00,0.00,0.10,-0.43
92.072,0.00,0.00,0.10,-0.43
92.222,0.00,0.00,0.10,-0.43
92.387,0.00,0.00,0.03,-0.43
